timeout
30000
trader_address,market_id,market_title,category,resolution_date,winning_outcome,volume_usd,realized_pnl_usd,first_trade_ever,days_before_resolution,elo,research_excluded,bot_type,categories_traded,total_trades_all_categories
0xefd4cb77c5415755b7fe18341853a208ca1f9f9b,0x0ff2f1a5e7b2584717605240f314d901aedf7d6c6b1b2a0dcfeb9f3a3348c4f4,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 21:59:15.355555",No,2245385.21,1685866.49,"2025-11-01 00:53:10.529210",19.9,3315.0,0,none,1,212
0xd3113455464a68218dca169ecfd3120103aedcdc,0x0ff2f1a5e7b2584717605240f314d901aedf7d6c6b1b2a0dcfeb9f3a3348c4f4,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 21:59:15.355555",No,5557657.8,1656789.16,"2025-11-01 19:24:23.352528",19.1,2343.3,0,none,2,283
0xf44a47f669d2d41c654006b268794eb7254d6f5d,0x0ff2f1a5e7b2584717605240f314d901aedf7d6c6b1b2a0dcfeb9f3a3348c4f4,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 21:59:15.355555",No,2686507.33,1376309.66,"2025-10-30 03:43:55.960124",21.8,2933.5,0,none,1,255
0x03b55b964b0ad370925792ec0728319702e00f0b,0x65412a88d22bfc268d3b35c94ba369a2fb443b79fa95545d5605e566cd76dc8d,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 22:09:51.455850",No,2469163.79,1250926.91,"2025-10-31 14:32:02.425231",20.3,2509.6,0,none,2,293
0x2c418e8b0f75d2b6d5de865846676d3bc3ade687,0x0ff2f1a5e7b2584717605240f314d901aedf7d6c6b1b2a0dcfeb9f3a3348c4f4,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 21:59:15.355555",No,2469163.79,1250926.91,"2025-10-31 14:21:26.324936",20.3,2935.1,0,none,2,240
0x814dc436fca7d922a68625f9aff805b160826768,0x7b50deb091ddc557892d6f6c47bd99b75c82ec1ac0cc3777a626aed49780ca21,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 22:16:40.803755",No,2469163.79,1250926.91,"2025-10-31 14:38:51.773136",20.3,2512.4,0,none,2,293
0x631e52348a1ae5861d068958aa65ba6213a45ef5,0x65412a88d22bfc268d3b35c94ba369a2fb443b79fa95545d5605e566cd76dc8d,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 22:09:51.455850",No,2687875.62,1222898.91,"2025-11-02 07:41:20.096979",18.6,2922.1,0,none,1,248
0xb7505200d926f514bb2dc2dc847f7077354eb6c5,0x0ff2f1a5e7b2584717605240f314d901aedf7d6c6b1b2a0dcfeb9f3a3348c4f4,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 21:59:15.355555",No,2687875.62,1222898.91,"2025-11-02 07:30:43.996684",18.6,2928.3,0,none,1,248
0x10cef48df913c775cda77ca82bc74d562ef0ea3b,0x7b50deb091ddc557892d6f6c47bd99b75c82ec1ac0cc3777a626aed49780ca21,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 22:16:40.803755",No,2669968.26,1178270.17,"2025-11-02 07:48:09.444884",18.6,2926.7,0,none,1,248
0x4b0d0a442cce7dc79707162a78c931bbf3fd46b5,0x0ff2f1a5e7b2584717605240f314d901aedf7d6c6b1b2a0dcfeb9f3a3348c4f4,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 21:59:15.355555",No,2987278.3,723889.29,"2025-10-30 08:01:35.762813",21.6,2366.4,0,none,1,277
