set,kind,market_id,title,prefilter,prefilter_family,market_slug,event_slug,event_title,label,subtype,borderline,reason
a,template-bucket (Unknown & prefilter=EXCLUDE),0x1c0f9238285760c5d0f2200c0b70aafd8aaf59f9b49adc2f176333ff366d0bec,Will the price of Solana be above $200 on November 19?,EXCLUDE,crypto_price_level,,,,NotRelevant,,0,deterministic template negative (crypto_price_level) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x782a230fb5a17d40b43a5aa4f704e874c7ea917426cb2eca7a40cfd62a6b81d5,"Bitcoin Up or Down - May 12, 10:15PM-10:20PM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0xa91ce249f5bd247385d0f06ef3a3f17170c77165aa4fb4241cd523084333ed94,Will Galatasaray win on 2025-09-30?,EXCLUDE,sports_match_date,,,,NotRelevant,,0,deterministic template negative (sports_match_date) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x99a687d47f5f11dc000239e7cb392259d61cc6ade1f20e6fdcb3df0a4b1c20d2,"Bitcoin Up or Down - February 17, 3:30PM-3:35PM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x8ba4fdbc6de8e2b2184321c1df9aa0a54e4913307f7978d1203787c3e1e2e9e2,"Dogecoin Up or Down - June 9, 8:40AM-8:45AM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0xc91f0b98629726ab5a4238422d6dfb38f07a922597cd0bdadbabfc310a1a5b1a,"Ethereum Up or Down - May 16, 7:40AM-7:45AM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x793c01a4a1cd197d1cde548f3a6104e42ff24ea3a74eb9db457d4b3d8a08442a,"Dogecoin Up or Down - July 18, 4:10AM-4:15AM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0xb3b1841953cfcc9105ff66034540ccc1c5aca0adb8c23251cb481fb1eba004e1,Cleveland Guardians vs. New York Yankees: O/U 9.5,EXCLUDE,sports_line,,,,NotRelevant,,0,deterministic template negative (sports_line) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x8b086d4a693707b31c5add35c2fe25af51157c9d4277963e8cc2f77e1e913f87,Will the highest temperature in Toronto be 12°C on March 7?,EXCLUDE,weather,,,,NotRelevant,,0,deterministic template negative (weather) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x5bfeb0b5104e61d91cac9af63926a575ab4f100be34891b3b32a5e8da1898611,England vs. Argentina: 1st Half O/U 3.5 Total Corners,EXCLUDE,sports_line,,,,NotRelevant,,0,deterministic template negative (sports_line) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x170a988faf96ca7512483547c4d9ed51ea7ad3f198ce9858f6036e4049f5856a,"Bitcoin Up or Down - May 2, 4:10PM-4:15PM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x150ba33f02e7f6fc5b8ac9b90ced75b89677558d65c215d059e02ea6558a47bc,"Ethereum Up or Down - July 24, 1:05AM-1:10AM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x4dd2ff8c17f5ffb3fe5ef29b6788b0b4e8da7c2f0e4e9bab9b040bad0e5f6ba9,"Solana Up or Down - November 1, 1AM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0xbf045f5526bff1c0ba235603a57baf8464bec12134c3bf8cf9194a77b6a1af03,Will OpenAI's valuation hit (LOW) $600B by June 30?,EXCLUDE,stocks,,,,NotRelevant,,0,deterministic template negative (stocks) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x5cb1ef1248468dae09255a4c0bc62d79a97dd98ada93c37f594712ca920ff20a,Spread: Boise State Broncos (-10.5),EXCLUDE,sports_line,,,,NotRelevant,,0,deterministic template negative (sports_line) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x42e926cad637e5945f35bc3848ef567ea1349eab375c0df9c8a1c7dafc083fe4,"Solana Up or Down - March 27, 1:45PM-1:50PM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x2b6afdb91958312e54e8a2fba5347a7b8be8321194acec0248a963f52c8ced31,"Bitcoin Up or Down - July 20, 4:15AM-4:30AM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0xa2281b3bb4e35b690b0424d62ebea7473a9638b21fd5bd29110b8364989fd7eb,Will the price of XRP be above $2.91 on September 1 at 12PM ET?,EXCLUDE,crypto_price_level,,,,NotRelevant,,0,deterministic template negative (crypto_price_level) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x033a3efe14986f142460ad69cd2804b5380000000000000000000000000000,Dota 2: Team Yandex vs PARIVISION (BO3) - Esports World Cup Playoffs AND Counter-Strike: Endless Journey vs BIG Academy (BO3) - CCT Europe Closed Qualifier: Series #5 Group C AND Will NJ/NY Gotham FC win on 2026-07-18? AND Will FC Seoul win on 2026-07-19?,EXCLUDE,sports_match_date,,,,NotRelevant,,0,deterministic template negative (sports_match_date) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0xd47820047abdd06f46fcb144d8650cc730073700496c68d93160c5d6fa67245b,"Bitcoin Up or Down - April 7, 12:20PM-12:25PM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x4df22f897643b94a2f67814d75d8f691fc99664603edc896ba0aa3a25f153a25,"Bitcoin Up or Down - March 13, 2:55PM-3:00PM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x5ce7bfff599156f7645d0cd7033f79c28f4427f777cc6c44f3a42994f8de2bb9,De'Andre Hunter: Rebounds O/U 3.5,EXCLUDE,sports_line,,,,NotRelevant,,0,deterministic template negative (sports_line) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x66fc513eb277d0ed5a62d8cde493136d805be2ee7536c2cf512594c3c88f9a5f,Will the highest temperature in London be between 65-66°F on September 24?,EXCLUDE,weather,,,,NotRelevant,,0,deterministic template negative (weather) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0xef7b2d13978546854315559cdb74f6586b9b1737daf2927f7d19d4bf491787ff,Will FK Lokomotiv Moskva win on 2025-10-26?,EXCLUDE,sports_match_date,,,,NotRelevant,,0,deterministic template negative (sports_match_date) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x320b336eb06cca0a14b0a96d15313f07fef97530b6988fe579dffd7d321c1efa,"Solana Up or Down - June 21, 4:25AM-4:30AM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x9f60832539cb754d85afdf65e49b8570dcc2c5c8b7543808852e544203901314,"Solana Up or Down - July 10, 9AM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x705adc24e66e915651c1baeb0e10774d467df47d0361917ba47e3eb6b989845d,"Bitcoin Up or Down - July 24, 8:30PM-8:45PM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x1d6c3089b4efb5c3e94a657460959fd2d542d1f98a5d2a79afc4475054c7071f,76ers vs. Kings: O/U 228.5,EXCLUDE,sports_line,,,,NotRelevant,,0,deterministic template negative (sports_line) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0xcc426d46c1d257d6ac7a53413eec00cd6ea909669f95877f4f6f13978693bef6,"Bitcoin Up or Down - May 25, 1:30PM-1:35PM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x8db688fb4e531864f5b5dc9bf0570c74a873d8c622f12b578b1f4c0c4a02e671,Will the highest temperature in Madrid be 28°C on May 24?,EXCLUDE,weather,,,,NotRelevant,,0,deterministic template negative (weather) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0xe96a92717513aec9f22e930ddc0de80fc37102f9649d3d8fce54451c6d2374ea,"Solana Up or Down - October 3, 1AM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x1f9269229cbf3215c56c3697c1392a6806197d0f0a6c730cc94af6ce3531e508,Spread: Germany (-2.5),EXCLUDE,sports_line,,,,NotRelevant,,0,deterministic template negative (sports_line) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0xe3bf860e10782c3e9cc8a7592e6bec77d6d31544e387e5cdc4599268adc4e222,"Bitcoin Up or Down - June 8, 10:30AM-10:35AM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0xdc09ab392309cc88d37b92e185f86a068545a7b50005e9d149a2751560e6d0d7,"Bitcoin Up or Down - December 15, 4:15AM-4:30AM ET",EXCLUDE,crypto_updown,,,,NotRelevant,,0,deterministic template negative (crypto_updown) — crypto/weather/sports/stocks/entertainment; not geo/elec
a,template-bucket (Unknown & prefilter=EXCLUDE),0x40c7a7aae22196dcfc9b072609ca3e59c954486e5a48fd40b42fbacaad2e339c,Will the lowest temperature in Tokyo be 10°C or below on May 5?,EXCLUDE,weather,,,,NotRelevant,,0,deterministic template negative (weather) — crypto/weather/sports/stocks/entertainment; not geo/elec
