set,kind,market_id,title,prefilter,prefilter_family,market_slug,event_slug,event_title
a,template-bucket (Unknown & prefilter=EXCLUDE),0x1c0f9238285760c5d0f2200c0b70aafd8aaf59f9b49adc2f176333ff366d0bec,Will the price of Solana be above $200 on November 19?,EXCLUDE,crypto_price_level,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0x782a230fb5a17d40b43a5aa4f704e874c7ea917426cb2eca7a40cfd62a6b81d5,"Bitcoin Up or Down - May 12, 10:15PM-10:20PM ET",EXCLUDE,crypto_updown,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0xa91ce249f5bd247385d0f06ef3a3f17170c77165aa4fb4241cd523084333ed94,Will Galatasaray win on 2025-09-30?,EXCLUDE,sports_match_date,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0x99a687d47f5f11dc000239e7cb392259d61cc6ade1f20e6fdcb3df0a4b1c20d2,"Bitcoin Up or Down - February 17, 3:30PM-3:35PM ET",EXCLUDE,crypto_updown,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0x8ba4fdbc6de8e2b2184321c1df9aa0a54e4913307f7978d1203787c3e1e2e9e2,"Dogecoin Up or Down - June 9, 8:40AM-8:45AM ET",EXCLUDE,crypto_updown,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0xc91f0b98629726ab5a4238422d6dfb38f07a922597cd0bdadbabfc310a1a5b1a,"Ethereum Up or Down - May 16, 7:40AM-7:45AM ET",EXCLUDE,crypto_updown,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0x793c01a4a1cd197d1cde548f3a6104e42ff24ea3a74eb9db457d4b3d8a08442a,"Dogecoin Up or Down - July 18, 4:10AM-4:15AM ET",EXCLUDE,crypto_updown,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0xb3b1841953cfcc9105ff66034540ccc1c5aca0adb8c23251cb481fb1eba004e1,Cleveland Guardians vs. New York Yankees: O/U 9.5,EXCLUDE,sports_line,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0x8b086d4a693707b31c5add35c2fe25af51157c9d4277963e8cc2f77e1e913f87,Will the highest temperature in Toronto be 12°C on March 7?,EXCLUDE,weather,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0x5bfeb0b5104e61d91cac9af63926a575ab4f100be34891b3b32a5e8da1898611,England vs. Argentina: 1st Half O/U 3.5 Total Corners,EXCLUDE,sports_line,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0x170a988faf96ca7512483547c4d9ed51ea7ad3f198ce9858f6036e4049f5856a,"Bitcoin Up or Down - May 2, 4:10PM-4:15PM ET",EXCLUDE,crypto_updown,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0x150ba33f02e7f6fc5b8ac9b90ced75b89677558d65c215d059e02ea6558a47bc,"Ethereum Up or Down - July 24, 1:05AM-1:10AM ET",EXCLUDE,crypto_updown,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0x4dd2ff8c17f5ffb3fe5ef29b6788b0b4e8da7c2f0e4e9bab9b040bad0e5f6ba9,"Solana Up or Down - November 1, 1AM ET",EXCLUDE,crypto_updown,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0xbf045f5526bff1c0ba235603a57baf8464bec12134c3bf8cf9194a77b6a1af03,Will OpenAI's valuation hit (LOW) $600B by June 30?,EXCLUDE,stocks,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0x5cb1ef1248468dae09255a4c0bc62d79a97dd98ada93c37f594712ca920ff20a,Spread: Boise State Broncos (-10.5),EXCLUDE,sports_line,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0x42e926cad637e5945f35bc3848ef567ea1349eab375c0df9c8a1c7dafc083fe4,"Solana Up or Down - March 27, 1:45PM-1:50PM ET",EXCLUDE,crypto_updown,,,
a,template-bucket (Unknown & prefilter=EXCLUDE),0x2b6afdb91958312e54e8a2fba5347a7b8be8321194acec0248a963f52c8ced31,"Bitcoin Up or Down - July 20, 4:15AM-4:30AM ET",EXCLUDE,crypto_updown,,,
