set,kind,market_id,title,prefilter,prefilter_family,market_slug,event_slug,event_title
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x051e5a36e3943299e0b032a71cad05bcc69bdebf340cf2322c81e00c763c8d51,Augsburg: Sandro Kopp vs Eduardo Ribeiro,RESIDUAL,,atp-kopp-ribeiro-2026-08-24,atp-kopp-ribeiro-2026-08-24,Augsburg: Sandro Kopp vs Eduardo Ribeiro
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x6c4f60ea179e526e76ec16fddf9983bf44abf2dce7377161ae76a8ce7fe140c9,"Will Elon Musk post 500-519 tweets from January 23 to January 30, 2026?",RESIDUAL,,elon-musk-of-tweets-january-23-january-30-500-519,elon-musk-of-tweets-january-23-january-30,"Elon Musk # tweets January 23 - January 30, 2026?"
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x164eb62dd56d478bfbd64f4a49d0e073daf1e5c665db1f8c79bd517026bac1b6,Will Canada’s January 2026 unemployment rate be 6.8%?,RESIDUAL,,will-canadas-january-2026-unemployment-rate-be-6pt8,january-unemployment-rate-canada,January Unemployment Rate - Canada
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xd170ab0ce9d2bce050d84387508315e226a231943593eb06767c85ec596f58e2,Lions vs. Buccaneers,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x57ccd0af178f695ae7ddba9b691a0f48ac25e4c32bf68e1026d50490cd8c696d,"Will Nansen launch a token by June 30, 2026?",RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xe3f2f663b6f050a7c9c613b9d22ace4c4751a15e98286fe82974cc058270c778,Will less than 100k jobs be added in February?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x58f61bc79b2c817391065d6f06b2afa8ec05063ccecf333f8abd46a95b887690,Braunschweig: Jan Choinski vs Hugo Gaston,RESIDUAL,,atp-choinsk-gaston-2026-07-12,atp-choinsk-gaston-2026-07-12,Braunschweig: Jan Choinski vs Hugo Gaston
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x1721f8d9b2b167a192d193f663761b5bd25f32311c24e02b9a589c9278d3d9b9,"Will the price of Bitcoin be between $108,000 and $110,000 on November 11?",RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x1bcb89e4fc55318b22191045832d7d957e655d660205e145f0ee441f69f43e90,Oeiras 2: Iryna Shymanovich vs Sinja Kraus,RESIDUAL,,wta-shymano-kraus-2026-02-19,wta-shymano-kraus-2026-02-19,Oeiras 2: Iryna Shymanovich vs Sinja Kraus
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x423f7bf6c3fdedd0affa7252fc0d2c448a8fad719c1eb022a02f15c5996596eb,Will Joshua Vasquez be the Republican nominee for FL-06?,RESIDUAL,,will-joshua-vasquez-be-the-republican-nominee-for-fl-06,fl-06-republican-primary-winner,FL-06 Republican Primary Winner
