set,kind,market_id,title,prefilter,prefilter_family,market_slug,event_slug,event_title
c,prefilter-exclusions (Unknown & prefilter=EXCLUDE),0xc09bf910db8c1f782fffefe7e9136fdf350cadd662eb411ffa4a37b29dc71e2e,Solana Up or Down on November 9?,EXCLUDE,crypto_updown,,,
c,prefilter-exclusions (Unknown & prefilter=EXCLUDE),0x0396460f160f943bef31513937fcbe015c0000000000000000000000000000,BK Hacken vs. AIK: O/U 3.5 AND Randers FC vs. Silkeborg IF: O/U 2.5 AND Rosenborg BK vs. Fredrikstad FK: O/U 2.5 AND Stabaek IF vs. Hoedd IL: O/U 3.5 AND Osters IF vs. Varbergs BoIS: O/U 3.5,EXCLUDE,sports_line,,,
c,prefilter-exclusions (Unknown & prefilter=EXCLUDE),0xd48c6da4cd9c9aef1fc06ce73a8520846da8ace61882cd9fbf42edb398a68705,"Will the price of Bitcoin be above $109,500 on September 6 at 4PM ET?",EXCLUDE,crypto_price_level,,,
c,prefilter-exclusions (Unknown & prefilter=EXCLUDE),0xe1f82b96a406e62408361a173373535ae6197a17c6b7f4b35c286c59517c3913,"Solana Up or Down - November 25, 5:00PM-5:15PM ET",EXCLUDE,crypto_updown,,,
c,prefilter-exclusions (Unknown & prefilter=EXCLUDE),0x7df307fb4bcce31ce87731681b60494f81053971355b5637b1b9d8ee4418841b,"Ethereum Up or Down - January 22, 4PM ET",EXCLUDE,crypto_updown,,,
c,prefilter-exclusions (Unknown & prefilter=EXCLUDE),0x762b68ac84c981c949476d72582ac220582acb20fc46c36226088d1144abe6a0,"XRP Up or Down - November 13, 11:30PM-11:45PM ET",EXCLUDE,crypto_updown,,,
c,prefilter-exclusions (Unknown & prefilter=EXCLUDE),0xfb88e8cf4d8a70cc511380de62645bb727dc26478f4104d9123bedd9e9c7855a,"Ethereum Up or Down - February 8, 12PM ET",EXCLUDE,crypto_updown,,,
c,prefilter-exclusions (Unknown & prefilter=EXCLUDE),0x8248e97f4905ea83ccf1b45175a7c13dc4bd1be4f2eeb1d116ffae80d78ae689,"Ethereum Up or Down - December 21, 9:00AM-9:15AM ET",EXCLUDE,crypto_updown,,,
c,prefilter-exclusions (Unknown & prefilter=EXCLUDE),0x42439a4087dc06ebae8fb3241201c2e324452c5314ad220fa55821a4168ab3a4,"Bitcoin Up or Down - March 29, 9:10PM-9:15PM ET",EXCLUDE,crypto_updown,,,
c,prefilter-exclusions (Unknown & prefilter=EXCLUDE),0xa52b629ba5840973daf4ad6e9d2390dfc6adae70c1600af1ed3543728218070b,"Bitcoin Up or Down - February 21, 7:35PM-7:40PM ET",EXCLUDE,crypto_updown,,,
c,prefilter-exclusions (Unknown & prefilter=EXCLUDE),0x88e44cae9372e8e582efd8418b27c88cb38f1c1521cda8c145fda503f8ea6912,Will the highest temperature in Manila be 32°C on May 21?,EXCLUDE,weather,,,
c,prefilter-exclusions (Unknown & prefilter=EXCLUDE),0x6f5e43616a8ab13fdaa6a0358bca71f1dd871771fb4bd2d056587a287241a2a6,Will Manchester United FC vs. Nottingham Forest FC end in a draw?,EXCLUDE,sports_line,,,
c,prefilter-exclusions (Unknown & prefilter=EXCLUDE),0x210c19fa32c0c52c020ade213c9a17a7ee3f3a5de41534bb37d174cbde89dedb,Will CF Monterrey win on 2026-03-13?,EXCLUDE,sports_match_date,,,
c,prefilter-exclusions (Unknown & prefilter=EXCLUDE),0x99fa88c3201c825db21eb45c0f041a20c9001cf2ce62186793f055cdebf43f93,"Bitcoin Up or Down - June 7, 12:15AM-12:30AM ET",EXCLUDE,crypto_updown,,,
c,prefilter-exclusions (Unknown & prefilter=EXCLUDE),0x8c0eda9f5a988eb9120533d44018002f473408b7751af897b5b4e24952dde26f,"Bitcoin Up or Down - July 25, 1:50AM-1:55AM ET",EXCLUDE,crypto_updown,,,
