row,set,market_id,title,market_slug,event_slug,event_title,oscar_label,oscar_borderline,oscar_note
1,a,0xb3b1841953cfcc9105ff66034540ccc1c5aca0adb8c23251cb481fb1eba004e1,Cleveland Guardians vs. New York Yankees: O/U 9.5,,,,,,
2,a,0x5bfeb0b5104e61d91cac9af63926a575ab4f100be34891b3b32a5e8da1898611,England vs. Argentina: 1st Half O/U 3.5 Total Corners,,,,,,
3,a,0x4df22f897643b94a2f67814d75d8f691fc99664603edc896ba0aa3a25f153a25,"Bitcoin Up or Down - March 13, 2:55PM-3:00PM ET",,,,,,
4,a,0x5ce7bfff599156f7645d0cd7033f79c28f4427f777cc6c44f3a42994f8de2bb9,De'Andre Hunter: Rebounds O/U 3.5,,,,,,
5,a,0xef7b2d13978546854315559cdb74f6586b9b1737daf2927f7d19d4bf491787ff,Will FK Lokomotiv Moskva win on 2025-10-26?,,,,,,
6,a,0xf0c2dfb77545cdba4b8d04bc35d4d1de0c63e6a42bc1f8447ba3d9ddee379e91,"XRP Up or Down - May 15, 12:30AM-12:35AM ET",,,,,,
7,a,0x242b62b9094ce15cca21539103e6c6ad91e4f03f712f32e283f8bf6f1e640891,"Ethereum Up or Down - February 22, 9:25AM-9:30AM ET",,,,,,
8,a,0xc8f192fbef56c2058483aa3e3a4ac028930a29d25c7d9fd79e7a241258e4ee0d,Harry Kane: 1+ goals,,,,,,
9,a,0xe4b7ee40705aaaee85a4cf467d9965cfd452aa23c4fc9deef2d27e2773a7c9c7,Spread: Atlanta Braves (-1.5),,,,,,
10,a,0xd175cb129ad965de5f77426f8c0abfa45b21da1cfdbfe38d5d8c49fcfbb3cb4d,"Ethereum Up or Down - April 9, 2AM ET",,,,,,
11,a,0xd3d5e4c35c62a80321201a36b7a755aa99d371aacdd9f95d11a15e9189ab12d6,Mark Williams: Rebounds O/U 2.5,,,,,,
12,a,0xf717e93e6022aa7635667a19a5a517a941f622817d55412435b6186d133339a6,"Dogecoin Up or Down - May 23, 6:15AM-6:20AM ET",,,,,,
13,a,0x8b8039f400c82623895dd4f97ba851f2e093b4e934ff27a9206ea3a92e02a141,Houston Astros vs. San Francisco Giants: O/U 5.5,,,,,,
14,a,0x4a994708612dfd7d2b5bc9f43b3a03677decbaf124109dda2dc1a57b37d5f8b1,"Bitcoin Up or Down - June 25, 4:45PM-5:00PM ET",,,,,,
15,a,0x4d57b2390ed2f8cf8bd71bdf7fa59651aee11acd6f3dd2356c513ea32933d377,"Bitcoin Up or Down - August 28, 10AM ET",,,,,,
16,c,0x42439a4087dc06ebae8fb3241201c2e324452c5314ad220fa55821a4168ab3a4,"Bitcoin Up or Down - March 29, 9:10PM-9:15PM ET",,,,,,
17,c,0xa52b629ba5840973daf4ad6e9d2390dfc6adae70c1600af1ed3543728218070b,"Bitcoin Up or Down - February 21, 7:35PM-7:40PM ET",,,,,,
18,c,0x88e44cae9372e8e582efd8418b27c88cb38f1c1521cda8c145fda503f8ea6912,Will the highest temperature in Manila be 32°C on May 21?,,,,,,
19,c,0xc65afdc09dbbedf94c765c776bfc1e18e7d20e9a2cd8bccd50ef27ed643dc879,Will the highest temperature in Chengdu be 26°C on May 4?,,,,,,
